Combined ID,Diagram Name,Intent Trigger Keywords,Golden Example Payload,UI Card Description (Short),Phase,Phase Name,Phase Goal,Architecture Domain,Abstraction Level,Architectural Stack Layer,Notation Standard,Default Layout Direction,Core GCP Services Featured (Exhaustive),Generative Build Sequence (How to Draw It),How to Handle Advanced Prompts (Overlay Logic),Required User Inputs,Prerequisite,Primary Personas (Creator / Consumer / Stakeholder),Sales Cycle Stage,Lifecycle Phase,Live Railway Link
P1-APP-L-01_legacy_data_dependency_map,Google Cloud Discovery & Assessment: Legacy Silos to Modern Migration Waves,"legacy discovery, on-prem silos, mainframe, oracle rac, sap ecc, shadow db, sftp shares, spaghetti integration, stratozone, migration center, dlp, migration waves, 6rs, gemini reasoning","Build a Google Cloud Discovery & Assessment architecture from on-prem legacy silos (IBM Mainframe, Oracle 11g RAC, SAP ECC, Shadow DBs, SFTP shares) through spaghetti integration matrix to Google Cloud StratoZone, Migration Center, Sensitive Data Protection (DLP), and Gemini 3.7 Flash 4-wave modern migration roadmap (Rehost, Replatform, Refactor, Retire).","On-prem legacy silos, spaghetti integration mesh, StratoZone Discovery Appliance, Migration Center, DLP scanning, and 4-wave target modernization plan.",1,Phase 1: Current State Assessment & Baseline,"On-prem legacy silos, spaghetti integration mesh, StratoZone Discovery Appliance, Migration Center, DLP scanning, and 4-wave target modernization plan.",App & Integration,Logical,Layer 4 (Application),Discovery Dependency Mapping,LR,"StratoZone Collector Appliance, Google Cloud Migration Center, Sensitive Data Protection (DLP), Compute Engine, Database Migration Service (DMS), Cloud Run, Gemini 3.7 Flash","1. Draw On-Prem Legacy Silos & Monoliths (Mainframe, Oracle RAC, SAP ECC, Shadow DBs, NAS Shares). 2. Draw Legacy Spaghetti Integration Matrix (ESB Bus, ETL, Shell Scripts, BI). 3. Draw Google Cloud StratoZone & Discovery Center with DLP and Gemini reasoning. 4. Draw Target Modern State with 4 Transformation Waves (Rehost, Replatform, Refactor, Retire).","Include 4-wave migration execution velocity, legacy credential auditing, and automated DLP classification.","System scope, component names, protocols",Initial architectural intent,Creator: Discovery Lead / Solutions Arch. | Consumers: Cloud Migration Team | Stakeholders: Legacy App Owners / CTO,Presales Pitch,Assessment,https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P1-APP-L-01_legacy_data_dependency_map
P1-APP-L-02_hybrid_strangler_fig_transition,Hybrid / Strangler Fig Transition Architecture,"strangler fig, hybrid migration, apigee routing, on-prem coexistence, legacy monolith, cloud interconnect, vpn backup","Design a hybrid strangler fig migration architecture where incoming client requests hit Apigee API Gateway, legacy queries route over 10G Dedicated Interconnect to an on-prem Oracle DB, and modernized services run on GKE with Cloud SQL.","Apigee API Gateway intercepting client traffic, routing legacy features to on-prem databases and modern features to GCP GKE.",1,Phase 1: Current State Assessment & Baseline,"Apigee API Gateway intercepting client traffic, routing legacy features to on-prem databases and modern features to GCP GKE.",App & Integration,Logical,Layer 4 (Application),Strangler Fig Traffic Facade,LR,"Apigee API Gateway, Dedicated Cloud Interconnect (10G), Cloud HA VPN, GKE Autopilot, Cloud SQL for PostgreSQL, Cloud Monitoring","1. Draw On-Premises Datacenter container (Legacy App, SQL DB, Mainframe). 2. Draw GCP VPC container with Apigee Gateway, GKE Microservices, and Cloud SQL. 3. Connect via dual Cloud Interconnect (Active) and Cloud VPN (Backup). 4. Route client requests into Apigee with conditional legacy vs new paths. 5. Add SOC2/HIPAA compliance badges.","If [High Security] or [Zero-Trust] requested: Add Cloud Armor WAF in front of Apigee, VPC Service Controls perimeters, and TLS 1.3 inspection.","System scope, component names, protocols",Initial architectural intent,Creator: Discovery Lead / Solutions Arch. | Consumers: Cloud Migration Team | Stakeholders: Legacy App Owners / CTO,Presales Pitch,Assessment,https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P1-APP-L-02_hybrid_strangler_fig_transition
P1-GOV-C-03_value_stream_map_vsm,Enterprise AI Architecture & Delivery Value Stream Map,"value stream map, vsm, lead time, process time, automated gates, ai delivery lifecycle, agile governance, lean","Generate an Enterprise AI Delivery Value Stream Map showing Inception, Data Prep, Model Training, Safety Evaluation, and Deployment with LT/PT metrics and automated quality gates.","Enterprise AI delivery value stream measuring lead time, process time, automated quality gates, and process efficiency.",1,Phase 1: Current State Assessment & Baseline,"Enterprise AI delivery value stream measuring lead time, process time, automated quality gates, and process efficiency.",Strategy & Governance,Conceptual,Layer 1 (Foundation),Value Stream Map (VSM) Standard,LR,"Vertex AI Pipelines, Cloud Build, Artifact Registry, Cloud Deploy, Cloud Monitoring, BigQuery Metrics Export, Gemini 3.7 Flash","1. Draw horizontal timeline chevron header (Inception -> Ingestion -> Model Prep -> Safety Eval -> Deploy). 2. Add stage cards with LT, PT, and %C&A KPIs. 3. Draw automated quality gate pills between stages. 4. Render bottom timeline showing Total Lead Time vs Processing Time ratio.",If [Lean Metric Breakdown] requested: Calculate Process Efficiency = (Total Processing Time / Total Lead Time) * 100% and render in executive summary callout.,"System scope, component names, protocols",Initial architectural intent,Creator: Lean/Agile Coach / Enterprise Arch. | Consumers: Business Unit Leaders | Stakeholders: Chief AI Officer / VP Engineering,Presales Pitch,Assessment,https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P1-GOV-C-03_value_stream_map_vsm
P1-GOV-C-04_as_is_vs_to_be_process_flow,As-Is vs. To-Be Process & Architecture Flow,"as-is vs to-be, modernization ROI, legacy comparison, before after, modernization roadmap, cost reduction",Show a split-screen As-Is vs To-Be modernization architecture comparing legacy on-prem overnight batch ETL and manual spreadsheet triage against a real-time Pub/Sub Lakehouse and Gemini Agentic mesh.,Top: Manual legacy triage & batch ETL. Bottom: Sub-50ms real-time lakehouse & Gemini Enterprise cognitive architecture with ROI scorecard.,1,Phase 1: Current State Assessment & Baseline,Top: Manual legacy triage & batch ETL. Bottom: Sub-50ms real-time lakehouse & Gemini Enterprise cognitive architecture with ROI scorecard.,Strategy & Governance,Conceptual,Layer 1 (Foundation),Split-Screen Architecture Transformation,LR,"Cloud Pub/Sub, Cloud Dataflow, BigQuery BigLake, Vertex AI Agent Builder, Gemini 3.7 Flash, Looker Studio, Cloud Storage","1. Draw top red-tinted container: 'As-Is Legacy State' with on-prem monolith, batch cron jobs, and manual handoffs. 2. Draw bottom green-tinted container: 'To-Be GCP Cloud Native State' with real-time stream, Lakehouse, and Gemini Agents. 3. Insert center Transformation Arrow with ROI scorecard (80% Latency Reduction, $1.2M Annual Savings).",If [Executive Financials] requested: Inject OPEX vs CAPEX comparison breakdown table on right margin.,"System scope, component names, protocols",Initial architectural intent,"Creator: Principal Solutions Architect | Consumers: C-Suite & Board Members | Stakeholders: CIO, CFO, Business Sponsors",Presales Pitch,Assessment,https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P1-GOV-C-04_as_is_vs_to_be_process_flow
P2-GOV-C-01_cloud_finops_chargeback_model,Cloud FinOps & Chargeback Model,"finops, chargeback, showback, cost allocation, billing export, cloud unit economics, token budget","Build a Cloud FinOps Chargeback architecture showing Google Cloud Billing Export streaming into BigQuery, automated cost anomaly detection via Cloud Functions, and Looker showback dashboards for 5 Business Units.","Multi-tenant cost allocation tagging taxonomy, BigQuery billing export, showback/chargeback, and Looker executive budget alerts.",2,Phase 2: Business Vision & Strategy Alignment,"Multi-tenant cost allocation tagging taxonomy, BigQuery billing export, showback/chargeback, and Looker executive budget alerts.",Strategy & Governance,Conceptual,Layer 1 (Foundation),FinOps Allocation Matrix,LR,"Cloud Billing Export, BigQuery, Looker Studio, Cloud Functions, Pub/Sub, Cloud Budgets API, Vertex AI Quota Governor","1. Draw Resource Tagging Tier (GCP Projects with env/cost-center tags). 2. Draw Ingestion Pipeline (Billing Export -> BigQuery partitioned table). 3. Draw Analytics & Alerting Tier (Cost Anomaly detection ML, Looker Dashboards). 4. Draw Chargeback Invoicing Engine routing monthly PDF reports to BU Leaders.",If [GenAI Token FinOps] requested: Add Model Quota Governor and Token Attribution per Team/Prompt.,"System scope, component names, protocols",Initial architectural intent,"Creator: FinOps Lead Architect | Consumers: Department Budget Owners | Stakeholders: Finance, VP Cloud Infrastructure",Executive Workshop,Planning → Design,https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P2-GOV-C-01_cloud_finops_chargeback_model
P3-APP-C-01_total_unified_system_view,Total Unified System View,"unified system view, total platform, master blueprint, panoramic architecture, enterprise reference model","Generate a panoramic Total Unified System View covering Multi-Modal Ingestion, Medallion Lakehouse on BigQuery, Gemini Multi-Agent Mesh, VPC-SC Security Perimeter, and Executive Cockpit.","Total integrated architecture consolidating data foundation, AI cognitive lifecycle, VPC network topology, and governance.",3,Phase 3: Target State Logical Architecture,"Total integrated architecture consolidating data foundation, AI cognitive lifecycle, VPC network topology, and governance.",App & Integration,Conceptual,Layer 1 (Foundation),Panoramic Enterprise Architecture,LR,"Cloud Storage, Cloud Dataflow, BigQuery BigLake, Vertex AI Agent Builder, Gemini 3.7 Flash, Cloud Armor, GKE Autopilot, Looker","1. Draw Ingestion Tier (Batch, Streaming, Multi-Modal). 2. Draw Lakehouse Foundation (Bronze, Silver, Gold BigLake). 3. Draw Cognitive Intelligence Layer (Gemini Pro, Vector Search, Tool Mesh). 4. Wrap with Zero-Trust VPC-SC and Cloud Armor Perimeter. 5. Draw Top Presentation Cockpit.","If [Zero-Trust High-Density] requested: Add CMEK Cloud KMS keys, Private Service Connect links, and 21 CFR Part 11 audit trails.","System scope, component names, protocols",Initial architectural intent,"Creator: Chief Enterprise Architect | Consumers: All Technical & Business Teams | Stakeholders: CTO, CISO, Chief Data Officer",Architecture Design / Review,Requirements → Design,https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P3-APP-C-01_total_unified_system_view
P3-AI-L-02_cognitive_architecture_agentic_rag,Cognitive Architecture / Agentic RAG,"agentic rag, cognitive architecture, react loop, vector search, semantic embeddings, knowledge grounding, mcp tools","Build a Cognitive Agentic RAG architecture featuring text-embedding-004 chunking, Vertex AI Vector Search, a 4-stage circular ReAct loop (Thought -> Action -> Observation -> Synthesis), and Gemini 3.7 Flash reasoning.",Multi-agent ReAct orchestration loop (Thought -> Action -> Observation -> Synthesis) with 100% circular ring geometry.,3,Phase 3: Target State Logical Architecture,Multi-agent ReAct orchestration loop (Thought -> Action -> Observation -> Synthesis) with 100% circular ring geometry.,AI Agentic & LLMOps,Logical,Layer 3 (Complex),Tangential ReAct Ring,LR,"Vertex AI Vector Search, Vertex AI Agent Builder, Gemini 3.7 Flash, Cloud Storage, Model Armor, Cloud Functions MCP Tools",1. Draw Ingestion & Chunking pipeline (GCS -> Document AI -> Embedding Engine). 2. Draw Vector Search & Metadata Store. 3. Build central ReAct circular loop with 4 curved tangential arcs. 4. Attach Model Armor guardrails and external MCP tool calling.,Enforce 100% smooth curved tangential ring geometry (curved=1) with zero straight diagonal crossing lines.,"System scope, component names, protocols",Initial architectural intent,Creator: Principal AI Architect | Consumers: AI Application Developers | Stakeholders: Head of AI / Product Management,Architecture Design / Review,Requirements → Design,https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P3-AI-L-02_cognitive_architecture_agentic_rag
P3-AI-L-03_hub_and_spoke_agent_mesh,Hub-and-Spoke Agent Configuration Map,"hub and spoke, multi-agent mesh, agent supervisor, domain agents, subagents, agent delegation","Create a Hub-and-Spoke Multi-Agent Mesh with a central Gemini 3.7 Super-Orchestrator dispatching tasks to SQL Agent, Research Agent, and Compliance Agent with HITL fallback.","Hub-and-Spoke agent coordination model with Super-Orchestrator Hub, Domain Spoke agents, and human review gates.",3,Phase 3: Target State Logical Architecture,"Hub-and-Spoke agent coordination model with Super-Orchestrator Hub, Domain Spoke agents, and human review gates.",AI Agentic & LLMOps,Logical,Layer 3 (Complex),Hub-and-Spoke Agent Mesh,LR,"Vertex AI Agent Builder, Gemini 3.7 Flash / Pro, Pub/Sub Agent Bus, Cloud Run Agent Containers, BigQuery Audit Log",1. Draw central Hub node: 'Super-Orchestrator Agent'. 2. Draw surrounding Spoke nodes in radial layout. 3. Connect bidirectional gRPC coordination channels. 4. Add bottom Human-in-the-Loop review gate for low confidence executions.,If [State Persistence] requested: Add Redis Memorystore distributed agent session memory bus.,"System scope, component names, protocols",Initial architectural intent,Creator: AI Systems Architect | Consumers: Agent Engineers | Stakeholders: Chief AI Architect,Architecture Design / Review,Requirements → Design,https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P3-AI-L-03_hub_and_spoke_agent_mesh
P3-DAT-L-04_gcp_enterprise_data_lakehouse,GCP Enterprise Data Lakehouse & Gemini Agentic Mesh,"data lakehouse, biglake, medallion architecture, bronze silver gold, dataplex, bigquery, spark dataproc","Build a GCP Enterprise Data Lakehouse with Bronze (Raw GCS), Silver (Parquet / Iceberg via Dataproc Spark), and Gold (BigQuery BigLake tables) managed by Dataplex and analyzed in Looker.","Medallion Lakehouse schema on BigQuery BigLake with Dataplex fabric, GE Industrial Cockpit, and Gemini Agentic mesh.",3,Phase 3: Target State Logical Architecture,"Medallion Lakehouse schema on BigQuery BigLake with Dataplex fabric, GE Industrial Cockpit, and Gemini Agentic mesh.",Data & Analytics,Logical,Layer 2 (Intermediary),Medallion Lakehouse & BigLake Fabric,LR,"Cloud Storage, Dataproc Serverless, BigQuery BigLake, Dataplex Universal Catalog, Cloud Data Fusion, Looker Studio, Gemini 3.7 Flash","1. Draw Ingestion Sources on left. 2. Draw 3-tier Medallion containers: Bronze Raw, Silver Refined, Gold Aggregated. 3. Overlay Dataplex governance fabric across all tiers. 4. Connect rightward to Looker Analytics and Gemini AI agent consumers.","Ensure 100% density with GE Industrial Cockpit, automated PII masking tags, and Data Lineage connectors.","System scope, component names, protocols",Initial architectural intent,Creator: Principal Data Platform Architect | Consumers: Data Engineers & Analytics Teams | Stakeholders: Chief Data Officer,Architecture Design / Review,Requirements → Design,https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P3-DAT-L-04_gcp_enterprise_data_lakehouse
P3-DAT-L-05_dimensional_data_model_erd,Dimensional Data Model - Crow's Foot ERD,"erd, entity relationship diagram, dimensional model, star schema, snowflake schema, crows foot, pgvector","Generate a Crow's Foot ERD with Fact_Transactions, Dim_Customer, Dim_Product, Dim_Date, and Table_Embeddings with 1536-dim vector columns and explicit PK/FK links.","Enterprise Star/Snowflake schema showing Fact tables, Dimension tables, Feature Store views, and pgvector embeddings.",3,Phase 3: Target State Logical Architecture,"Enterprise Star/Snowflake schema showing Fact tables, Dimension tables, Feature Store views, and pgvector embeddings.",Data & Analytics,Logical,Layer 2 (Intermediary),Crow's Foot Entity-Relationship (ERD),LR,"Cloud SQL for PostgreSQL (pgvector), AlloyDB AI, BigQuery, Vertex AI Feature Store, Datastream CDC","1. Draw central Fact Table (Fact_Orders, Fact_Telemetry). 2. Draw surrounding Dimension Tables (Dim_User, Dim_Device, Dim_Location). 3. Connect with Crow's Foot cardinality lines (1:N, 1:1). 4. Highlight vector embedding columns with purple badges.",Enforce zero line slicing through table bodies; route orthogonal connectors through dedicated channel margins.,"System scope, component names, protocols",Initial architectural intent,Creator: Lead Database Modeler | Consumers: Backend & Data Engineers | Stakeholders: Data Engineering Lead,Architecture Design / Review,Requirements → Design,https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P3-DAT-L-05_dimensional_data_model_erd
